id,topic,docs
0,12,"
FTP the payment *** in below directory.

Verify that a record is created in *** Table with Reference_Number as ***
Verify in *** table that the file is processed and recreated successfully.

Sql: Select   from *** where *** = <file_seq_nu>
Verify in *** that the Control file get generated.

Sql: Select   from *** where *** = <batc_seq_nu>
Using following query verify that the correct Logical File Name will be present in the file:

Sql: Select   from *** where *** = <archive_data_seq_nu  from Record -2>.
"
1,3,"
Upload the payment file through ***
Verify whether the file is loaded in *** table
Verify the *** Table that the trans status is populated as U
Verify whether the file is acrchived in *** table
Verify whether the file is acrchived in AD ***
Verify the *** are same in the *** header and in the recreated file
Verify whether the positive control received from ***.

"
2,3,"
Upload the payment file through *** Portal
Verify whether the file is loaded in *** table
Verify the *** Table that the trans status is populated as U
Verify whether the file is acrchived in *** table
Verify whether the file is acrchived in AD webmonitor.
Verify the cust sender ID's are same in the *** header and in the recreated file
Verify whether the positive control received from ***.
Verify that statement is recreated in *** format"
3,3,"
Upload the payment file through ***
Verify whether the file is loaded in *** table
Verify the *** Table that the trans status is populated as U
Verify whether the file is acrchived in *** table
Verify whether the file is acrchived in AD webmonitor.
Verify the *** are same in the *** header and in the recreated file
Verify whether the positive control received from ***.
Verify that statement is recreated in *** format
"
4,3,"Upload the payment file through ***
Verify whether the file is loaded in *** table
Verify the *** Table that the trans status is populated as U
Verify whether the file is acrchived in *** table
Verify whether the file is acrchived in AD ***
Verify the cust sender ID's are same in the *** header and in the recreated file
Verify whether the positive control received from ***."
5,3,"
Upload the payment file through ***
Verify whether the file is loaded in *** table
Verify the *** Table that the trans status is populated as U
Verify whether the file is acrchived in *** table
Verify whether the file is acrchived in AD webmonitor.
Verify the cust sender ID's are same in the *** header and in the recreated file
Verify whether the positive control received from Payment router."
6,3,"
Upload the payment file through *** Portal
Verify whether the file is loaded in *** table
Verify the *** Table that the trans status is populated as U
Verify whether the file is acrchived in *** table
Verify whether the file is acrchived in AD webmonitor.
Verify the cust sender ID's are same in the *** header and in the recreated file
Verify whether the positive control received from Payment router.
"
7,3,"
Upload the payment file through ***
Verify whether the file is loaded in *** table
Verify the Transaction Table that the trans status is populated as U
Verify whether the file is acrchived in *** table
Verify whether the file is acrchived in AD webmonitor.
Verify the cust sender ID's are same in the *** header and in the recreated file
Verify whether the positive control received from Payment router."
8,8,"
Upload the inbound file.
The map *** is executed in ***
Verify if there is an entry  in the *** table.
Verify if the 'All Batches Complete' and 'Payment Complete' entries are available in the *** table.
Verify the Trasaction and Batch status.
Check if  *** ACK for  File and batch bansta are generated in AD
Check if  the file is getting re-created.

"
9,6,"
Upload the inbound file.
The map *** is executed in ***
Verify if there is an entry  in the *** table.
Verify if the 'All Batches Complete' and 'Payment Complete' entries are available in the *** table.
Verify the Trasaction status.
Check if  *** ACK for  File and trans bansta are generated in AD
Check if  the file is getting re-created.
"
